data_container,transcript,quote or transcriber's summary
E.5,"Girls should have Bachelors level education. Whereas, boys should have an education to a level until they get good jobs. Girls are being educated but boys’ education is thought more important. ",quote
E.5,"Both of them should get higher education and to an equal level. However, generally the case is different here. Some families do send their boys and girls to schools other do not. And some only send their boys to schools. ",quote
E.5,"Boys and girls are to be equally educated. Because if a boy can become a doctor so a girl doctor is also needed. Now girls are everywhere in military (fouj), police and every other field.  I desire to join Pakistan Army (Fouj) but who considers our (girls’) wishes/decisions?",quote
E.5,Education is equally important for both girls and boys. For girls the level of education should be the bachelors and for boys it should be where and when they get jobs. Boys’ education is also important due to the reason of the responsibility of earning money. ,quote
E.5," I second her (respondent no 6). Girls should be educated up to bachelors level where as boys should get education unless they become doctors, engineers or officers. Parents expect more from boys so they want to get their sons more educated. ",quote
E.5,Both girls and boys should be equally educated. We haven’t got any education. But both should be equally treated and equally educated. We didn’t get education means our education isn’t important for our families and parents. ,quote
E.5,Education is important for all girls and boys. But this is more important for girls so that they can move forward. They can learn how to live the life and how to talk. What can I say if I myself couldn’t get education? My parents didn’t get me education. ,quote
E.7,I clean the plants at home. I know milking of cow and goats and giving them fodder too. ,quote
E.7,"I clean the home plants. It’s like home gardening but not actually home gardening. Because I only have some information of home plants, trees and flower plants. I water them, clean them and have learnt a bit of the cutting of plants. ",quote
E.7,I also give fodder to the cows. ,quote
E.7,Girls learn the milking and giving fodder to the animals. I haven’t learnt it yet. I will learn this now. But we know how to prepare the manure for burning/heating purpose.,quote
E.7,Girls here learn these all things as they get young. ,quote
E.7,Boys learn a bit about agriculture when they are quite young. ,quote
E.7,For tenants’ boys they start learning how to work in the fields but for landowners they just learn how to get the work done by tenants/labor generally called as (buzgurr) in the local context. ,quote
E.7,I have learnt how to plant trees at home and I do it at home. I also cut trees and flowers. ,quote
E.7,I also know this all. But women/girls don’t work at agriculture fields. ,quote
E.8,the main reasons why girls in this village end their education,quote
E.8,Because of poverty many families cannot send their children specially girls to school.,quote
E.8,Girls’ school is very far from this village. Those who can afford hiring private vehicles may send their girls to the XX city for schooling. Others do not.,quote
E.8,I have studied till metric and then I was no allowed for further studies.  Poverty (ghurbat) is the important reason why people can’t and don’t send their daughters to school. They hardly afford their sons’ education.,quote
E.8,Here we don’t have girls’ school/s and other facilities. We have studied at city as our parents could afford it. Girls from poor families could have got education too if there were girls schools here in the village. We only have a primary girl’s school here.,quote
E.8,AT least there should be a girls’ middle school in the village. There are no girls’ schooling facilities here at village. We only have a primary school. If we could have a high school for girls so all village girls will be educated.,quote
E.8,One element is poverty and the other is permission. Some girls are not allowed to go to city school for study. Many girls of school going age and others after finishing their schooling are just sitting at home and doing sewing or embroidery. They could serve the community as teachers if there was any girls’ school.,quote
E.8,If we have had girls school here at village so our village could be much progressive. Girls who are just sitting idle and even women all could at least get elementary education,quote
E.8,Girls’ school is very far from here and poverty also makes it very difficult for people to send their daughters to city schools. My brother didn’t even allow me to go to this primary girls’ school.,quote
E.8,Poverty is also another reason hurdling girls education.,quote
E.8,my brother didn’t permit me to go to school. Girls’ primary school is also far from here. It is located at XX ,quote
E.9,The two most important reasons on this list why girls end their education,quote
E.9,Farness of girls' schools,quote
E.9,Poverty,quote
E.9,Gender stereotypes with regard to female education ,quote
E.10,Yes. I want to become a great teacher. I want to illumine my family and parents’ name. ,quote
E.10, I wanted to become an engineer. But girls have no such freedom here. ,quote
E.10,"As I told you, I want to join Military/Army. But no one would let me go/do so. ",quote
E.10,I also want to become a teacher. I am trying so. But family doesn’t allow us to go far. If we have had girls school here in our village so may be thing would have got better. ,quote
E.10,I also want to join Army. But it seems impossible here. At least I should become a teacher if can’t join Army.,quote
E.10, I wish to become a great teacher as you. ,quote
E.10,I want to become a doctor and serve poor patients. ,quote
E.10, I haven’t studied but I wish if I could have got education like some other girls.,quote
E.10,I wish if I can study even now.,quote
E.11,Girls do sewing or embroidery work. Boys go outside in agriculture fields. Some work and others play cricket/football or spend their time in leisure activities. I like to write stories. ,quote
E.11,Girls do sewing or embroidery work. Boys go outside in agriculture fields. Some work and others play cricket/football or spend their time in leisure activities. I like to write stories. ,quote
E.11,Girls in summer season attend their school and in winter either they watch TV or work at home. Boys play or talk on mobile phones.,quote
E.11," I watch TV in leisure time or read digests. I like reading digests. I also want to write digest stories. Boys go outside, play games or use mobile and computers/laptops.",quote
E.11,"Boys play different recreational games when they are free. Girls’ recreation is watching TV. They do sewing, embroidery work or cooking. ",quote
E.11," I write diary, watch TV and do some household chores. Boys bring grass/fodder for cow or bring grocery stuff from bazar/market. ",quote
E.11, I perform household chores i.e. cleaning or washing dishes etc and watch TV.  ,quote
E.11,We girls perform household tasks and then embroidery work. Boys play cricket outside. ,quote
E.11,"Girls do cooking, baking breads, embroidery, sewing, giving fodder to animals. But boys either go to play or watch TV and play or watch cricket.",quote
E.12,Boys and girls both should do great tasks. If they are well educated so they can also have good jobs and good spouses. ,quote
E.12,Both boys and girls should have and do jobs.,quote
E.12, They should think about their future plans. I as girl want to travel throughout the world. Boys should become something or look after father’s work/business.,quote
E.12,Boys and girls both should get/do jobs.,quote
E.12, They should get married after getting good jobs.,quote
E.12,Boys should fulfill their dream of becoming something in their future. We girl should focus on household tasks because we will not get any jobs I know. ,quote
E.12,Get jobs and plan marriage. ,quote
E.12,Both should complete their education and reach to some level in their lives. ,quote
E.12,"Either girl or boy, both should accomplish their education first and the get good jobs and then think for marriage etc. ",quote
E.13,Previously people used to spread the seeds and medicines by using their hands. Now machines have replaced the work so the human labor is minimized. Before wheat used to take much time for becoming ready to harvest but now latest chemical fertilizers have changed the whole scenario. Tube wells have resolved the issue of water scarcity to a large extent. ,quote
E.13,I think now wheat production has got much better than five or ten years back. And this is because of ‘Khaad’ and water.,quote
E.13,Before we used to wait for electricity but now solar energy has lessened this difficulty. This might be useful in the agriculture too. But at home it is very much useful for our lives. ,quote
E.13, I don’t have an idea about it. ,quote
E.13, The new wheat seeds have enhanced the quality and quantity of grain. ,quote
E.13, Yes. True and very well said. ,quote
E.13,Water problem is resolved. ,quote
E.13, I also don’t have much knowledge what you are asking about.,quote
E.13,Many things have got changed I think in agriculture and livestock but men know more about it.,quote
E.14, New agricultural/NRM/other practices/technologies,quote
E.14,"Solar energy, Chemical fertilizers (Khaad), New and improved seed varieties leading to good crops, Water resources/Tube wells, labor Generators/UPS, Cleaned Grains through machines, Wheat Husk (Bhoosa called Parrorhh in the local context) used for cow’s fodder",quote
E.14,Most important for the women of the community (top 2),quote
E.14,Cleaned wheat grain as it lessened the women labor ,quote
E.14,Water as it is essential for bot (crops and for domestic use),quote
E.14,Most important for the men of the community (top 2),quote
E.14,Chemical Fertilizers (Khaad) as it improved the crop quality and quantity ,quote
E.14,Solar energy and water as both are very essential for agriculture purpose,quote
E.15,"We only clean the wheat grain. This is what we have to do as girls and women. But in livestock yes we do raise pets like cows, hens and goats. We take care of them, give them fodder and milking is women’s job. ",quote
E.15, Having interest is another thing but having opportunity is something different. That’s what we girls do not have. We also have cow at home. I take care of our cow. I give it food. ,quote
E.15,We girls do not have opportunities and permission to take any initiatives in farming or agriculture. ,quote
E.15,"I have a bit interest in farming activities but I don’t do it because this is considered as men’s work here. I also take care of our cow, take it out of its hutch give it fodder and sometimes I give it medicines when it gets sick. Father brings medicine and I give it to cow. ",quote
E.15,At home some women do home gardening but not too much and in field not at all. Women cannot think to go to fields. I raise my hens. Take care of them and sometimes I sell them when my cousins or siblings ask me. I enjoy selling them on my family members. ,quote
E.15,I do help my sister in growing some flower plants at home. My mother asks me to give water to the cow. I bargain with her take something or money from her and then give it water otherwise not.,quote
E.15,I only water the home plants and clean their waste leaves etc. In livestock growing I don’t do anything. ,quote
E.15,I don’t know this all and I don’t do. I have nothing to do with this all.,quote
E.15,"I do home gardening and grow some vegetable like tomato, green chili and some trees. I give fodder to our goats and hens. ",quote
E.16,Important crops or livestock for women Now,quote
E.16,"Wheat (called ‘ghannum’ in local language), Tomato (tamaater), Cauliflower (gbohi) and carrot (gaajar)
Cows, sheep, goats, Hens",quote
E.17,Change in ground water resources,quote
E.17,Water resources,quote
E.17,Electricity/energy resources,quote
E.17,Change in weather,quote
E.17,Change in market prices for agriculture crops,quote
E.17,"Change in agriculture related technologies ( medicines, chemical fertilizers, pesticides etc) ",quote
,New machinery in agriculture ,quote
E.18,Women do not work in agriculture fields in this area. What they do in terms of agri-related activities is mentioned in previous and succeeding sections. And this is because of the deep-rooted gender divisor of labor and patriarchy. ,quote
E.24,"Certainly, women here too don’t have any land/property possession.  Thus they are not in a position to make certain choices.",quote
E.24,"Male consult other male farmers, friends, relatives and those who have good farms obviously. Male never consult their wives for certain matters. Because they think that women lack certain knowledge and experiences in this respect. ",quote
E.25,If there are only women in the group and if the activities of the group are within the same village not far so Adam will allow Hawa otherwise not.,quote
E.25,Adam will see if there are no men in group and the activities are not out of home.,quote
E.25,if it is only a women group and even out of the village perhaps Adam will permit his wife Hawa. ,
E.25,Adam will only be concerned about if Hawa needs to work with men either it is within village or out of village. ,quote
E.26,If Adam is in this village so he will not allow Hawa to do so as this village men never permit their women for initiating such things. If buyers are within the village so perhaps she will be allowed but to market never. ,quote
E.26,Age is also an important elemenet in this respect. If a wife/woman is aged so perhaps she will be allowed to go to the market but if young so she will never be allowed. ,
E.26,Adam will not allow Hawa for this.,quote
E.26,Adam would rather say to Hawa “ You have said this today but do not say and think this next time”,quote
E.26,If Hawa will insist in this regard so Adam may abuse/beat her for this. ,quote
E.26,Adam will say to Hawa you are a woman so you are supposed to live like a woman.,quote
,,quote
E.27,If Adam asks Hawa for her help on his plot so perhaps Hawa will also keep her wish of selling her vegetables in market. SO Adam will not seek Hawa’s help.,quote
E.27,Adam will never ask Hawa for her help because women here do not work outside of home. ,quote
E.27,If Adam’s plot is within the home premises so he will seek Hawa’s help otherwise no. ,quote
E.27,Adam will not say Hawa to help him. ,quote
E.28,Meeran is good that she is helping her husband and Bashir is good too that he is allowing his wife to work and go outside and helping her in her works. ,quote
E.28,May be Adam and Hawa will learn some good lesson from this couple. ,quote
E.28,It seems as Adam belongs to our community and Pashtoon tribe while Bashir is good enough. ,quote
E.28,This difference is really good between Adam & Bashir. This is how other community men and women will be aware of good things. I appreciate Bashir and his thinking. ,quote
E.28,Meeran is a good woman so Bashir trusts her and allows her to go out for work. ,quote
E.28,Meeran is a good woman. Bashir is a good human being too that he takes care of Meeran’s rights. ,quote
E.28,Bashir is a good man. He trusts his wife and this is a good thing if Meeran is financially supporting her husband. ,quote
E.28,In my point of view Meeran and Bashir both have good reputation as they trust and help each other in life. ,quote
E.28,Trusting one’s woman is truly a good thing. This is good if Bashir allows and trust Meeran to go out for work. ,quote
E.28,This is really good if Bashir has such thinking. He is not like our men. ,quote
E.29,Truly speaking here our community men would consider Bashir a greedy man who is letting his women his honor to go out. Women are considered as one’s honor here. ,quote
E.29,Actually our village people do not have such good thinking if they consider Bashir and this act the good one. ,quote
E.29,I think people should think and speak well about him. ,quote
E.29,Everybody will think and say according to his mind and thoughts. People with positive thinking will consider Bashir and his act as good and people with negative thinking will obviously think and say wrong of Bashir. ,quote
E.29,People will think wrong of Bashir. They will call Bashir a bad person. ,quote
E.29,Bashir is a bad person. This is a wrong thing that he is allowing his wife to go out and work. ,quote
E.29,What kind of man is Bashir that he doesn’t think of his honor? He is doing bad to send his wife out to work. ,quote
E.30,Bashir will feel happy that his wife is supporting him all the way. ,quote
E.30,He will be happy that his wife is earning money. ,quote
E.30,I think Bashir will feel jealous of his wife. ,quote
E.30,Bashir will be happy that family income has increase and it will bring prosperity in their life.  ,quote
E.30,I think Bashir will be happy because this will also enhance Bashir’s honor. ,quote
E.30,Bashir will be happy that family earning is being increased. ,quote
E.31,There should be gender equality.  Both girls and boys should be equally treated. This is a good thing. But honestly even parents do not equally treat girls and boys. We wish if there would be gender equality here. ,quote
E.31,There should be no difference between men and women and between boys and girls. Gender equality is good. ,quote
E.31,Both boys and girls are equal. And treating them equally is really a nice thing.,quote
E.31," There shouldn’t be unequal treatment for boys and girls on the bases of gender. They should be given equal rights in all spheres of life including education, job and marriage. Gender equality is obviously a good thing.",quote
E.31,"All rights, freedom and treatments should be same for both boys and girls. Gender equality is truly a good thing.",quote
E.31,"To me, women and girls shouldn’t be given too much rights and freedom as it is not good. Though equality is not bad, I think there must be some restrictions for women and girls.",quote
E.31,Girls and boys all should be treated equally in my point of view. There shouldn’t be inequality in anything. In few things equality should be there like property and marriage but may be not in all things.  ,quote
E.31, There isn’t any difference in fact that girls and boys should be treated unequally but in men’s point of view there is difference between men and women/boys and girls. Parents also treat them differently. Boys are given more priority in everything even studies and other things. Parents though claim that all children including girls and boys are equal to them but unequal treatment for boys and girls is being practiced for many generations.,quote
E.31, I agree that there should be gender equality. And there must be no unequal treatment between boys and girls but practically they are always treated differently and unequally. ,quote
E.32,I think both should think and discuss first and then decide finally.,quote
E.32,Both should discuss and see the family need and then decide the quantity for selling in the market.,quote
E.32,I think Deeni knows better how much to keep and how much to sell because the garden belongs to Deeni. She might be aware of the rates too so she should decide accordingly.,quote
E.32,Both should decide it together. But this is true that the owner of the garden is Deeni so she knows much better what to keep and hat to sell. Because she cooks food so she knows the family need. ,quote
E.32,Both of them together decide this matter.,quote
E.32,Together both of them should make the decision. Because in all other things if they consult each other so here to they both should decide it together. They can make a better decision in this way. ,quote
E.32,Both should consult each other for making this decision. ,quote
E.32,If they both together decide it so the decision will be better/right.,quote
E.32,If Deeni and Deeno consult each other and then make the decision so they would make a better decision because one can be wrong at times but the other can give some better solution but both might not make a wrong decision at the same time so if they mutually decide it so the ultimate result will be a good decision. ,quote
E.33,Both should trust and consult each other in this regard.,quote
E.33,Deeno because he is a man. Here men do these things and men decide all this. And secondly this is good if she should trust her husband in this respect because she trust him in other matters too. ,quote
E.33,Deeni. She should trust herself sell her vegetables by herself. When labor is her and she has done all the hard work so she better knows where and on what price the vegetables is to be sold so she should do it by herself.,quote
E.33,Deeno is more trustworthy in this respect because he is a man. He knows the market trends and prices as he is a man. ,quote
E.33,Deeni should trust herself. Man is also trustworthy but woman should trust herself first. ,quote
E.34,Deeni should consult her husband first and then decide if they should try new variety and fertilizer. But if it is useful and beneficial so they better use it after consultation of each other. ,quote
E.34,Once they decide for making certain changes so other village people would also be aware of such change and its usefulness. And may be other also wants to follow it.,
E.34,She should consult her husband and then buy and apply whatever she wants. But such change is good since Deeni’s sister has already applied them and she will not give any wrong suggestion to Deeni.,quote
E.34, She should discuss it with her husband and then buy and apply whatever she wants. Yes. They may go for these changes because Deeni’s sister has already tried this and the result was good. ,quote
E.34,Both of then discuss it first and take any final decision. If they mutually decide to apply these changes so they should go for that and see the result. It will be beneficial and profitable for them. ,quote
E.34,"Since, she consults her husband in every matter, this would be better if she takes his consultation in this regard too. Change should be there. And they already know that it’s a good and beneficial change. ",quote
E.34,Both should discuss it first and then make some decision. Yes. They should replicate these changes because this would be profitable for their garden and increase their family business. ,quote
E.34,Both should discuss the matter first and then decide. This is necessary if they go for such changes because this would be profitable for their garden and increase their family business. ,quote
E.34, I believe that she should consult her husband first and take his suggestion before deciding anything. Actually change is something good. Like if we see any good embroidery so we replicate it on our dresses. So if they apply changes in their garden it will be useful. ,quote
E.34," Better if they sit together, discuss the whole thing and then make any decision to apply anything new. They should apply this change and see since they somehow know that the result will be good.  ",quote
E.35,2 participants voted for Very easy,transcriber's summary
E.35,4 participants voted for Easy,transcriber's summary
E.35,1 participant voted for Neither Easy nor difficult,transcriber's summary
E.35,2 participants voted for Difficult,transcriber's summary
E.36,This is Deeni’s property so Deeno should not obstruct her choice/decision. He shouldn’t get angry in this regard. ,quote
E.36,Deeni is the owner so it is easy for her to decide what she wants to do with this property. ,quote
E.36,This would be very easy for Deeni to decide whatever she wants to do with her property because that is given to her by her father not husband. ,quote
E.36,"However Deeni is the property owner, yet it depends on her husband’s way of thinking if he agrees or not. It can be easy or difficult both but depending on what the situation is. Meanwhile I cannot say anything. ",quote
E.36,it is difficult to make husband agree for Deeni. ,quote
E.36, This is Deeni’s share i.e. given by her father.  So she can decide about its use/sell easily.,quote
E.36,this is easy for Deeni because it belongs to her so she may decide to give or not to give it to her husband. ,quote
E.36,This is Deeni’s property so she can make any decision about it. ,quote
E.36,It seems a bit difficult to me for Deeni to make any decision related to her property. One side is her property but on the other end she has her husband. And her husband can get angry so it will be difficult for Deeni. ,quote
E.37,This would be very easy for Deeno because he is the owner of the property. He can do anything with it.,quote
E.37,"This is easy for man because it is his money, his property so he can use as he wants to. ",quote
E.37,Man has all the authority to make decisions. He can even take this money by his wife by forcing her. But a woman cannot do this. ,quote
E.37,This would be very easy for Deeno to do as he wants. Because it is his thing.  ,quote
E.37,This is very easy for Deeno to decide to do anything with that property because he is man. And he would also be having his wife’s trust i.e. whatever husband decides to do would all be in the favor of wife and children. ,quote
E.37,Deeno will ultimately do something better for his wife and children. So no one will stop him. ,quote
E.37," It is Deeno’s choice whatever he wants to do with his property or its money. It will be very easy for him to decide to do anything, even he can give this money to his wife",quote
E.37,It is Deeno’s money so he can do anything with his money. He can buy anything with that or even he can get another marriage. ,quote
E.37,No one can ask Deeno if he decides something to do with that money. He is a man anyhow.. ,quote
E.39,"A young woman should go to market only when she feels herself comfortable, safe and secure. And a woman should be strong enough and if needed she can be violent. It’s not about married or unmarried but it’s about young and old. And after all she is a woman. ",quote
E.39, I think young women should not go alone to the market as it is not safe.,quote
E.39,"Everybody trusts herself actually but a woman cannot trust strange men. Hence, it is not safe for woman to go alone to the market. ",quote
E.39,We know better about our family and community men. If we go somewhere alone so the result will not be good. ,quote
E.39, I think a young unmarried woman will not feel herself comfortable and secure while going to the market. But a young married woman will feel herself more confident and safe if she goes outside/ to market.,quote
E.39,If she can protect herself so she can. Regardless of being married or unmarried. ,quote
E.39,If she trusts herself and she doesn’t fear any fear so she should go otherwise no. I start crying when any man gazes at me. Last time too this happened when we went to XX market. Though I was not alone. ,quote
E.39,I think no. Even a young married woman shouldn’t go alone without her husband. If it is very much essential for her to go alone so she should take permission by her husband first. ,quote
E.39,"I think a woman cannot fight/beat a man so if she goes to market all alone, it is unsafe for her either she is married or unmarried but a woman anyhow.  ",quote
E.40,If a woman is allowed and she has cooperation of her man so she can go and sell her product in the market. Because our men allow and get us for becoming political agents in election. ,quote
E.40,She belongs to the same village so in my thinking she can go and sell. ,quote
E.40,I think it is not easy because this is her own village and all people know each other her. All will see her and her this act as negativity. ,quote
E.40,This is her own area so if she has permission from her family men so she can go otherwise no. ,quote
E.40, I think she can go and sell her stuff in the market because she also belongs to the same area. All people know each other so there shouldn’t be any trouble for her.,quote
E.40,Our men will feel themselves as embarrassed and disgraced when somebody would speak something bad i.e. Ohhhh! We saw your family woman in the market today. So this is really hard. ,quote
E.40,"It is all about trust and cooperation. If a woman is allowed and family men i.e. father, brother or husband cooperates so a woman can go and sell her products in the local market. ",quote
E.40,First of all our own family men and community/village men will speak negative bout such woman who goes to the market for selling something. Let apart other people. ,quote
E.40, I think the same as she just said. Our people will never like it.,quote
E.41,"4 participants said that out of every 10 women in your community, one or two middle-aged or old women move about freely on their own in the public spaces of the community",transcriber's summary
E.41,"2 participants said that out of every 10 women in your community, hardly 2 or 3 aged or married women can walk freely in public spaces, when visiting any other relative/community women. young and unmarried girls are not allowed ",transcriber's summary
E.41,"2 participants said that out of every 10 women in the community, few women; maybe 4 married middle aged women like our mothers/grandmothers move about freely on their own in the public spaces of the community",transcriber's summary
E.42,No one goes out of this village. All are here. Boys of our generation are only going for education purpose nothing else. ,quote
E.42,Only for getting education some boys are out of the village. ,quote
E.43,So far there is/are no such case/s in this community. ,quote
E.44,For girls the age for marriage is 22 - 25 now but previously it used to be 15-18. Male gets his first marriage at 25 here and then he keeps on getting many marriages till his last age. ,quote
E.45,Men/boys may decide their choices and desires for having a wife or whom they want to get married to but girls/women are never asked. Women are never consulted for their marriages let apart the polygyny and when they have to be second or third wife of a man. ,quote
E.45,For girls previously the age for marriage was only 15 or under 18 and she was never asked for her consent in this regard. Now age has modified with time but yet she is never asked for her choice/consent in this regard. ,quote
E.45,Men choose those girls and women who are beautiful/pretty looking and having good family background/respect in the community.  Women however have no say in this regard either they are going to be the first wife or co-wife no matter. ,
E.45,Generally men get more marriage for having children but here male get more marriages because of having money and because of his choice that he wants a new wife each time.  ,quote
E.45,We have only one man in this community who got a single wife perhaps because he has no money for having another one. All other men have more marriages/wives.,quote
E.46,The decisions regarding marriages should be made after asking the consent of both girl and boy because they have to live together. ,quote
E.46,As boys are at least asked for their choice so why not girls? ,quote
E.46,Leave such marriage which is not planned as per my consent. Either one shouldn’t get married or the marriage should be based on one’s own consent either that is a girls or a boy. ,quote
E.46,Boy and girls should meet and see each other once at least. ,quote
E.46, All respondents. The good thing is if marriages are consensually planned. ,quote
E.47,"Normally, just after one year of marriage a woman has her child in her lap. And It doesn’t matter if she has got married in her 20th or more. Otherwise people/other woman in family start probing about it. ",quote
E.48,No. This is not at all the right age for this. Because she is immature and yet physically too weak to take such responsibility. A girl should at least understand her responsibility. She should know how to nurture a child.,quote
E.49, After five years of their marriage a couple should have their first baby however practically a girl/woman is never asked or heard in this respect. I fell there should be a good understand between husband and wife before having their first child. ,quote
E.49,If a girl has got married in 20 years so she should have her first baby in her 24th/25th year. ,quote
E.49,"After one’s 60 years in kidding mood:-D. At least till 6 or 7 years of their marriage, there shouldn’t be any child. It’s a hell. ",quote
E.49,After some three years because then mother-in-law and husband will search another girl as daughter –in-law /wife. ,quote
E.49,After six years of the marriage. Because marriages here are planned early so better if we get a bit mature for having the responsibility of children. ,quote
E.50,Women are never asked/consulted or given any right in this respect. ,quote
E.50,"Though we are not married yet, we have heard and seen our mothers and elder women. Honestly, here no man asks any woman while planning when to have a child and what should be the family size. As many other matters women in this too have no right to make/discard any decisions. ",quote
E.50,If any woman wants two/less children man would definitely go for another marriage. ,quote
E.51,There should be a high school for girls here in the village. There should be good educational institutions for both boys and girls. ,quote
E.51, There should be jobs for both boys and girls. ,quote
E.51,Girls and boys should be allowed for consensual marriages. ,quote
E.51,There should be a hospital where I can be the doctor. Where we can have medical treatment and jobs.  ,quote
E.51,We have a practice for planning marriages i.e. giving a girl for another girl whether there is a proper match for her or not. This practice is called as “Sarraii” in our local context. This practice should be over now. But it seems very difficult. ,quote
