country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence_interval
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_C,may be the wife will not give her earning to her husband and there will be a fight,fight,quote,E.30,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_EQ,NRM_EQ_YS,women and male should have equal freedom,equal freedom,quote,E.31,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_EQ,NRM_EQ_YS,women should be educated to be equal. ,educated to be equal,quote,E.31,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_EQ,NRM_EQ_YS,all the work and roles should be equal for men and women,should be equal,quote,E.31,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_EQ,NRM_EQ_YS,"this is good, because the work that is done only by men is now done by women also",this is good,quote,E.31,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_O,they both should decide ,both,quote,E.32,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_O,who ever is free should sell,who ever is free,quote,E.33,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_N,"if the husband agrees, yes, they will make changes ","if the husband agrees,",quote,E.34,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_O,both should have a common understanding to do better farming,,quote,E.34,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_O,it is easy for [female spouse] to go ahead and purchase the plot of land in the absence of  [male spouse]'s support,,transcriber's summary,E.35,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_O,the family wants to generate income and not difficult that she buys the land,not difficult that she buys the land,quote,E.36,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_N,"Yes she can go, but not all the woman in the village is allowed like that",not all the woman in the village,quote,E.38,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_O,they have to ask their parents first,have to ask their parent,quote,E.38,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_N,If her husband allows than its ok but she will need to ask as well with her in-laws,If her husband allows,quote,E.39,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_C,it is difficult in a joint family,it is difficult ,quote,E.39,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_O,if there is an opportunity yes its easy ,its easy ,quote,E.40,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_O,It could be an employment opportunity selling the products for her income,selling the products for her income,quote,E.40,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_O,most women move freely on their own in the village  ,,transcriber's summary,E.41,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_O,women today go to the college and with the parents permission they can move freely,they can move freely,quote,E.41,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_MOB,NRM_MOB_C,"to go out in this village is considered normal, because everyone goes, but for women it could be difficult. ", but for women it could be difficult. ,quote,E.42,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_C,mostly its arranged marriage,arranged marriage,quote,E.45,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_N,sometimes if the boy likes the girl they tell their parents and get them married. ,sometimes if the boy likes the girl,quote,E.45,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_O,both decide,both decide,quote,E.50,,,ENU_2,0.95
